"Name","Code","pricegrowth"
"Abba River","50001",0.3043552255257964
"Abbey","50002",0.11562081496231258
"Acton Park (WA)","50003",0.13410320063121617
"Adamsvale","50004",0.910475165816024
"Ajana","50005",0.8539030267857015
"Albany","50006",0.8066120555158705
"Aldersyde","50007",0.4560687525663525
"Alexander Heights","50008",0.3073152049910277
"Alexandra Bridge","50009",0.10106662730686367
"Alfred Cove","50010",0.8816709478851408
"Alkimos","50011",0.41879901802167296
"Allanooka","50012",0.9040397389326245
"Allanson","50013",0.8203958980739117
"Alma (WA)","50014",0.5230489305686206
"Ambania","50015",0.8545903803315014
"Ambergate","50016",0.7997714469674975
"Amelup","50017",0.5901976441964507
"Angelo River","50018",0.35399356624111533
"Anketell","50019",0.11871020984835923
"Anniebrook","50020",0.6736891232430935
"Antonymyre","50021",0.611849351786077
"Applecross","50022",0.044268319150432944
"Ardath","50023",0.4942238493822515
"Ardross","50024",0.8170259685721248
"Argyle (WA)","50025",0.8981061258818954
"Armadale (WA)","50026",0.9911090745590627
"Arrino","50027",0.58554708189331
"Arrowsmith","50028",0.7204012435395271
"Arrowsmith East","50029",0.6527182513382286
"Arthur River (WA)","50030",0.6787900668568909
"Ascot (WA)","50031",0.7009625770151615
"Ashby (WA)","50032",0.0036391622852534056
"Ashendon","50033",0.73871118738316
"Ashfield (WA)","50034",0.6423858352936804
"Attadale","50035",0.9828595786821097
"Atwell","50036",0.46663364372216165
"Aubin Grove","50037",0.9660589965060353
"Augusta","50038",0.4484902056865394
"Australind","50039",0.6846544463187456
"Aveley","50040",0.6477803192101419
"Avon Valley National Park","50041",0.31957439449615777
"Baandee","50042",0.015409475425258279
"Babakin","50043",0.661804573610425
"Badgebup","50045",0.7756473498884588
"Badgerin Rock","50046",0.10706488974392414
"Badgin","50047",0.9740518303588033
"Badgingarra","50048",0.28248443733900785
"Badjaling","50049",0.7772553383838385
"Bailup","50050",0.0935490233823657
"Bakers Hill","50051",0.08318163640797138
"Balbarrup","50052",0.4944142824970186
"Balcatta","50053",0.37388334912247956
"Baldivis","50054",0.5015903394669294
"Balga","50055",0.5152012130711228
"Balingup","50056",0.5726549543906003
"Balkuling","50057",0.6029478523414582
"Balla Balla","50058",0.8722658478654921
"Balladong","50059",0.6935969709884375
"Balladonia","50060",0.9401538386009634
"Ballajura","50061",0.7260367784183472
"Ballaying","50062",0.37392591196112335
"Ballidu","50063",0.3460592955816537
"Bally Bally","50064",0.35305608971975744
"Bambun","50065",0.5880712375510484
"Bandy Creek","50066",0.13933170470409095
"Bandya","50067",0.8089764765463769
"Banjup","50068",0.5172867733053863
"Banksia Grove","50069",0.7156226655934006
"Banksiadale","50070",0.11989459511823952
"Bannister (WA)","50071",0.7526897999923676
"Barbalin","50072",0.5783004511613399
"Barberton","50073",0.9780281751882285
"Barrabup","50074",0.7777324647177011
"Barragup","50075",0.7559234939981252
"Baskerville","50077",0.9298513929825276
"Bassendean (WA)","50078",0.5773626954760402
"Bateman","50079",0.7488901268225163
"Baudin","50080",0.6258329825941473
"Baynton (WA)","50081",0.7641864847391844
"Bayonet Head","50082",0.8331212655175477
"Bayswater (WA)","50083",0.6828883592970669
"Beachlands","50084",0.9093315813224763
"Beacon","50085",0.1571183179039508
"Beaconsfield (WA)","50086",0.07041988847777247
"Beadell","50087",0.45031902869232
"Beaufort River","50088",0.2652453160844743
"Beaumont (WA)","50089",0.6493508908897638
"Beckenham","50090",0.37508010771125555
"Bedford","50091",0.5480452042538673
"Bedfordale","50092",0.3082358278334141
"Beechboro","50093",0.2034045490436256
"Beechina","50094",0.6602119794115424
"Beedelup","50095",0.13822665554471314
"Beela","50096",0.5718947553541511
"Beelerup","50097",0.9826606286223978
"Beeliar","50098",0.8286781122442335
"Beenong","50099",0.7835886748507619
"Beermullah","50100",0.07147044851444662
"Bejoording","50101",0.3981177171226591
"Beldon","50102",0.6263167476281524
"Belhus","50103",0.9199390059802681
"Bellevue (WA)","50104",0.3793708796147257
"Belmont (WA)","50105",0.5793625137303025
"Bencubbin","50106",0.38052000058814883
"Benger","50107",0.21064366167411208
"Benjaberring","50108",0.44882923155091703
"Benjinup","50109",0.9629795316141099
"Bennett Springs","50110",0.6316508711315691
"Bentley (WA)","50111",0.06043715518899262
"Beresford","50112",0.7709315132815391
"Berkshire Valley","50113",0.7788473123218864
"Bertram","50115",0.48974078916944563
"Beverley (WA)","50116",0.15505643235519528
"Bibra Lake","50117",0.021369905211031437
"Bickley","50118",0.1722820345312357
"Bicton","50119",0.05280794925056398
"Biddelia","50120",0.7062554925214499
"Big Grove","50121",0.8100319209042937
"Bilbarin","50122",0.8122329981997609
"Bilingurr","50123",0.49914931529201567
"Bimbijy","50124",0.025031133322045207
"Bindi Bindi","50125",0.3791991916950792
"Bindoon","50126",0.36850381921976805
"Bindoon Training Area","50127",0.3989827681798488
"Binduli","50128",0.23350424715317786
"Binningup","50129",0.5382075603120029
"Binnu","50130",0.4281712509691715
"Birchmont","50131",0.7142818451393396
